set KEY :=
x n 95
x o 62
x p 62
x q 49
x r 40
x s 43
x t 62
x u 35
x v 46
x w 16
x x 27
x y 63
x z 61
y a 28
y b 94
y c 69
y d 10
y e 70
y f 53
y g 77
y h 76
y i 25
y j 108
y k 65
y l 52
y m 87
y n 65
y o 13
y p 62
y q 98
y r 22
y s 21
y t 95
y u 95
y v 61
y w 84
y x 43
y y 31
y z 77
z a 90
z b 83
z c 47
z d 104
z e 83
z f 45
z g 52
z h 74
z i 83
z j 35
z k 109
z l 105
z m 65
z n 109
z o 107
z p 39
z q 38
z r 109
z s 63
z t 22
z u 43
z v 87
z w 30
z x 99
z y 82
z z 50

;
param COSTMAP :=
A A 55
A B 74
A C 102
A D 108
A E 38
A F 91
A G 45
A H 99
A I 54
A J 29
A K 68
A L 33
A M 73
A N 100
A O 96
A P 20
A Q 35
A R 57
A S 61
A T 35
A U 36
A V 56
A W 79
A X 46
A Y 87
A Z 92
B A 59
B B 21
B C 23
B D 60
B E 94
B F 62
B G 61
B H 76
B I 30
B J 62
B K 59
B L 48
B M 77
B N 64
B O 39
B P 100
B Q 51
B R 44
B S 62
B T 78
B U 72
B V 46
B W 27
B X 73
B Y 85
B Z 30
C A 20
C B 62
C C 64
C D 38
C E 69
C F 62
C G 41
C H 37
C I 36
C J 49
C K 46
C L 38
C M 29
C N 78
C O 105
C P 38
C Q 45
C R 65
C S 33
C T 31
C U 86
C V 45
C W 86
C X 98
C Y 105
C Z 67
D A 94
D B 88
D C 66
D D 103
D E 24
D F 30
D G 94
D H 94
D I 25
D J 39
D K 86
D L 104
D M 88
D N 71
D O 19
D P 88
D Q 26
D R 98
D S 37
D T 76
D U 36
D V 10
D W 33
D X 53
D Y 47
D Z 97
E A 32
E B 45
E C 43
E D 88
E E 103
E F 82
E G 44
E H 85
E I 21
E J 86
E K 92
E L 64
E M 46
E N 59
E O 89
E P 105
E Q 56
E R 43
E S 36
E T 43
E U 109
E V 55
E W 64
E X 67
E Y 60
E Z 101
F A 82
F B 30
F C 56
F D 65
F E 91
F F 16
F G 97
F H 23
F I 107
F J 82
F K 104
F L 100
F M 90
F N 27
F O 33
F P 96
F Q 42
F R 15
F S 29
F T 79
F U 67
F V 25
F W 66
F X 59
F Y 16
F Z 51
G A 96
G B 99
G C 14
G D 56
G E 60
G F 20
G G 69
G H 64
G I 86
G J 105
G K 88
G L 36
G M 97
G N 45
G O 92
G P 26
G Q 67
G R 26
G S 103
G T 38
G U 12
G V 12
G W 44
G X 13
G Y 77
G Z 47
H A 27
H B 11
H C 53
H D 52
H E 65
H F 108
H G 107
H H 51
H I 106
H J 70
H K 37
H L 40
H M 35
H N 42
H O 11
H P 38
H Q 22
H R 28
H S 71
H T 50
H U 106
H V 89
H W 18
H X 93
H Y 107
H Z 23
I A 109
I B 101
I C 80
I D 107
I E 71
I F 77
I G 10
I H 76
I I 95
I J 101
I K 70
I L 41
I M 40
I N 73
I O 18
I P 66
I Q 102
I R 103
I S 37
I T 15
I U 87
I V 12
I W 78
I X 108
I Y 33
I Z 13
J A 83
J B 24
J C 109
J D 58
J E 38
J F 37
J G 106
J H 96
J I 93
J J 17
J K 21
J L 77
J M 86
J N 56
J O 11
J P 51
J Q 16
J R 35
J S 36
J T 31
J U 43
J V 90
J W 11
J X 67
J Y 18
J Z 107
K A 65
K B 73
K C 53
K D 97
K E 83
K F 27
K G 103
K H 36
K I 95
K J 52
K K 85
K L 96
K M 40
K N 91
K O 106
K P 103
K Q 54
K R 27
K S 74
K T 73
K U 17
K V 19
K W 88
K X 67
K Y 50
K Z 20
L A 36
L B 11
L C 70
L D 48
L E 105
L F 50
L G 54
L H 73
L I 71
L J 83
L K 43
L L 29
L M 79
L N 61
L O 23
L P 68
L Q 106
L R 66
L S 87
L T 82
L U 78
L V 109
L W 69
L X 37
L Y 107
L Z 82
M A 65
M B 109
M C 104
M D 98
M E 80
M F 49
M G 15
M H 49
M I 104
M J 108
M K 28
M L 63
M M 93
M N 97
M O 19
M P 101
M Q 56
M R 74
M S 54
M T 104
M U 81
M V 11
M W 74
M X 62
M Y 100
M Z 24
N A 58
N B 87
N C 70
N D 35
N E 36
N F 88
N G 64
N H 24
N I 20
N J 31
N K 47
N L 92
N M 95
N N 77
N O 10
N P 98
N Q 68
N R 79
N S 60
N T 64
N U 104
N V 102
N W 105
N X 76
N Y 18
N Z 63
O A 39
O B 33
O C 83
O D 105
O E 99
O F 84
O G 51
O H 14
O I 30
O J 14
O K 87
O L 66
O M 74
O N 25
O O 99
O P 109
O Q 105
O R 89
O S 26
O T 90
O U 53
O V 41
O W 90
O X 29
O Y 59
O Z 11
P A 78
P B 10
P C 87
P D 99
P E 29
P F 103
P G 63
P H 82
P I 35
P J 90
P K 93
P L 88
P M 84
P N 88
P O 52
P P 16
P Q 28
P R 86
P S 63
P T 100
P U 104
P V 65
P W 66
P X 59
P Y 92
P Z 101
Q A 49
Q B 44
Q C 87
Q D 99
Q E 94
Q F 55
Q G 107
Q H 104
Q I 31
Q J 93
Q K 53
Q L 66
Q M 43
Q N 94
Q O 21
Q P 35
Q Q 78
Q R 52
Q S 10
Q T 58
Q U 39
Q V 98
Q W 53
Q X 82
Q Y 67
Q Z 38
R A 26
R B 53
R C 62
R D 104
R E 32
R F 15
R G 30
R H 55
R I 41
R J 84
R K 26
R L 81
R M 109
R N 47
R O 52
R P 44
R Q 43
R R 33
R S 75
R T 42
R U 50
R V 72
R W 27
R X 50
R Y 100
R Z 49
S A 36
S B 80
S C 50
S D 100
S E 66
S F 42
S G 27
S H 70
S I 43
S J 73
S K 64
S L 80
S M 97
S N 64
S O 49
S P 50
S Q 78
S R 90
S S 65
S T 91
S U 77
S V 95
S W 70
S X 102
S Y 16
S Z 73
T A 82
T B 71
T C 19
T D 67
T E 106
T F 13
T G 69
T H 37
T I 62
T J 49
T K 51
T L 69
T M 14
T N 66
T O 54
T P 52
T Q 41
T R 86
T S 81
T T 71
T U 83
T V 34
T W 80
T X 78
T Y 31
T Z 37
U A 108
U B 103
U C 42
U D 13
U E 30
U F 84
U G 104
U H 41
U I 63
U J 66
U K 40
U L 71
U M 66
U N 101
U O 94
U P 17
U Q 81
U R 20
U S 109
U T 96
U U 15
U V 63
U W 31
U X 89
U Y 106
U Z 95
V A 19
V B 107
V C 31
V D 78
V E 38
V F 79
V G 36
V H 36
V I 40
V J 73
V K 103
V L 65
V M 15
V N 58
V O 55
V P 106
V Q 66
V R 24
V S 63
V T 76
V U 91
V V 100
V W 31
V X 19
V Y 50
V Z 97
W A 106
W B 32
W C 18
W D 63
W E 88
W F 29
W G 33
W H 60
W I 69
W J 45
W K 74
W L 72
W M 61
W N 53
W O 98
W P 74
W Q 12
W R 51
W S 10
W T 98
W U 22
W V 67
W W 50
W X 51
W Y 60
W Z 65
X A 56
X B 18
X C 52
X D 42
X E 10
X F 12
X G 16
X H 91
X I 73
X J 11
X K 102
X L 25
X M 22
X N 11
X O 59
X P 90
X Q 33
X R 95
X S 89
X T 41
X U 64
X V 66
X W 74
X X 16
X Y 15
X Z 64
Y A 31
Y B 100
Y C 102
Y D 43
Y E 42
Y F 24
Y G 68
Y H 69
Y I 44
Y J 71
Y K 102
Y L 27
Y M 66
Y N 10
Y O 83
Y P 85
Y Q 94
Y R 70
Y S 102
Y T 84
Y U 58
Y V 18
Y W 13
Y X 94
Y Y 71
Y Z 50
Z A 74
Z B 78
Z C 60
Z D 51
Z E 58
Z F 45
Z G 44
Z H 53
Z I 30
Z J 101
Z K 46
Z L 85
Z M 42
Z N 52
Z O 40
Z P 24
Z Q 108
Z R 17
Z S 19
Z T 48
Z U 79
Z V 37
Z W 34
Z X 30
Z Y 65
Z Z 37
